"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"729 Seventh Ave","1-01001-7501","1916","1","Office","172076","Not Available","Not Available","Not Available","Not Available","783.8","81","Not Available","172076","172076","Not Available","Not Available","Not Available","Not Available","172076","Not Available","Not Available","Not Available","Not Available","3830113.2","60821.9","608.218781","1940891.4"
"730 Fifth Avenue","1012727503","1921","1","Office","266858","Retail Store","80000","Not Available","Not Available","477","98","Not Available","346858","266858","Not Available","Not Available","80000","Not Available","346858","Not Available","Not Available","Not Available","Not Available","227659.3","Not Available","Not Available","1703646.7"
"730 Park Ave","1013850037","1928","1","Multifamily Housing","173500","Medical Office","9100","Not Available","Not Available","1017.6","44","Not Available","182600","Not Available","173500","Not Available","Not Available","Not Available","182600","Not Available","Not Available","Not Available","Not Available","10292757.3","229495.5","2294.954559","1187452.3"
"730 Third Avenue","1013000033","1959","1","Office","646809","Data Center","15450","Bank Branch","12942","2767.7","Not Available","Weekly Operating Hours is outside the allowed range","678947","646809","Not Available","Not Available","Not Available","Not Available","678947","Not Available","Not Available","Not Available","Not Available","17910522.4","Not Available","Not Available","5821865.6"
"731 Lexington Ave","1013137501","2003","1","Office","940848","Multifamily Housing","247991","Wholesale Club/Supercenter","85082","12805.6","65","Not Available","1343789","940848","247991","Not Available","39556","Not Available","1343789","Not Available","Not Available","Not Available","Not Available","28500370.4","1612427.4","16124.27353","39934992.4"
"732 Lexington Avenue","1013137502","1953","1","Office","268399","Data Center","1071","Not Available","Not Available","811.3","90","Not Available","269470","268399","Not Available","Not Available","Not Available","Not Available","269470","Not Available","Not Available","Not Available","Not Available","2566605.6","Not Available","Not Available","2363690.9"
"733  Third  Avenue","1013190047","1961","1","Office","390878","Not Available","Not Available","Not Available","Not Available","2003.9","73","Not Available","390878","390878","Not Available","Not Available","Not Available","Not Available","390878","Not Available","Not Available","Not Available","Not Available","12357732.6","804271.7","8042.71694","4207162"
"740 Park Ave","1013860033","1930","1","Multifamily Housing","292032","Urgent Care/Clinic/Other Outpatient","4000","Not Available","Not Available","1591.4","37","Not Available","296032","Not Available","292032","Not Available","Not Available","Not Available","296032","Not Available","Not Available","Not Available","Not Available","13566100.9","283629.5","2836.295317","2491727"
"745 Fifth Ave.","1-01293-0069","1930","1","Office","437870","Retail Store","66076","Other - Entertainment/Public Assembly","30032","2445.8","75","Not Available","537135","437870","Not Available","Not Available","66076","Not Available","537135","Not Available","Not Available","Not Available","Not Available","8406073.3","Not Available","Not Available","6962231.2"
"745 Seventh Ave","1-01002-0001","2001","1","Other","1005678","Data Center","20404","Financial Office","13324","10551","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","1049811","Not Available","Not Available","Not Available","10405","Not Available","1049811","Not Available","Not Available","Not Available","373428","27621940.5","805725.8","8057.25829","31890355.2"
"750 East 16th Street","1-00990-0001","1970","1","Office","68049","Energy/Power Station","37784","Repair Services (Vehicle, Shoe, Locksmith, etc.)","13600","873.7","Not Available","More than 25% of the Portfolio Manager-Calculated Property GFA is considered ""Other.""","119433","68049","Not Available","Not Available","Not Available","Not Available","119433","Not Available","Not Available","Not Available","Not Available","10429128.2","1369761.4","13697.6139","400101.6"
"750 Lexington Avenue","1013940013","1986","1","Office","368979","Parking","24000","Retail Store","14956","1859.8","68","Not Available","383935","368979","Not Available","24000","14956","Not Available","383935","24000","Not Available","Not Available","Not Available","5463531.5","Not Available","Not Available","5521530.4"
