"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"1172 Amsterdam Avenue","1019730001","1977","1","College/University","105370","Not Available","Not Available","Not Available","Not Available","964.7","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","105370","Not Available","Not Available","Not Available","Not Available","Not Available","105370","Not Available","Not Available","Not Available","Not Available","6056624.9","Not Available","Not Available","891307.3"
"1175-1185 Third Ave","1-01423-7501","1950","1","Multifamily Housing","425046","Parking","30000","Supermarket/Grocery Store","28449","4009.2","9","Not Available","453495","Not Available","425046","30000","Not Available","28449","453495","30000","Not Available","Not Available","Not Available","30929787.2","3500135.4","35001.35394","6526650.4"
"1177 Avenue of the Americas","1-00998-0029","1992","1","Office","997901","Not Available","Not Available","Not Available","Not Available","4471.7","72","Not Available","997901","997901","Not Available","Not Available","Not Available","Not Available","997901","Not Available","Not Available","Not Available","Not Available","17337457.9","Not Available","Not Available","12247098.9"
"117 East 72nd St","1014070008","1928","1","Multifamily Housing","85886","Other","2296","Not Available","Not Available","470.1","81","Not Available","88182","Not Available","85886","Not Available","Not Available","Not Available","88182","Not Available","Not Available","Not Available","Not Available","5025112.8","141555.8","1415.558434","475535"
"1180 Amsterdam Avenue","1019730001","1987","1","College/University","62004","Not Available","Not Available","Not Available","Not Available","357.9","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","62004","Not Available","Not Available","Not Available","Not Available","Not Available","62004","Not Available","Not Available","Not Available","Not Available","3214665.8","Not Available","Not Available","524481.5"
"1180 Avenue of the Americas","1-01262-0001","1926","1","Office","390751","Fast Food Restaurant","1725","Not Available","Not Available","1792.3","70","Not Available","392476","390751","Not Available","Not Available","Not Available","Not Available","392476","Not Available","Not Available","Not Available","Not Available","14096869.7","Not Available","Not Available","3158363.5"
"1185 Ave of the Americas","1009990029","1970","1","Office","672763","Financial Office","349917","Data Center","11100","6619.5","61","Not Available","1041308","672763","Not Available","Not Available","6710","Not Available","1041308","Not Available","Not Available","Not Available","Not Available","36476505.7","1173026","11730.26003","15251980.6"
"118 East 60th Street","1-01394-0007","1963","1","Multifamily Housing","330173","Retail Store","20000","Medical Office","10000","1442.2","66","Not Available","360173","Not Available","330173","Not Available","20000","Not Available","360173","Not Available","Not Available","Not Available","Not Available","12888771.6","370840.6","3708.406228","2090131.3"
"1190 Amsterdam Avenue","1019730001","1930","1","College/University","139953","Not Available","Not Available","Not Available","Not Available","840.3","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","139953","Not Available","Not Available","Not Available","Not Available","Not Available","139953","Not Available","Not Available","Not Available","Not Available","2553560","Not Available","Not Available","1745285.2"
"119 West 57th Street","1-01010-0021","1926","1","Office","103707","Retail Store","10000","Not Available","Not Available","498.6","74","Not Available","113707","103707","Not Available","Not Available","10000","Not Available","113707","Not Available","Not Available","Not Available","Not Available","3333594","Not Available","Not Available","1022712.5"
"11 Broadway","1000130005","1900","1","Office","434220","Not Available","Not Available","Not Available","Not Available","1855.1","92","Not Available","434220","434220","Not Available","Not Available","Not Available","Not Available","434220","Not Available","Not Available","Not Available","Not Available","12343962.2","0","0","3819199.6"
"11 East 29th Street","1-00859-7501","2005","1","Multifamily Housing","239084","Other - Entertainment/Public Assembly","21990","Other","1428","891","51","Not Available","262502","Not Available","239084","Not Available","Not Available","Not Available","262502","Not Available","Not Available","Not Available","Not Available","3297288.7","1767828.9","17678.28864","2132409"
"11 East 44th Street","1-01279-0009","1927","1","Office","121181","Retail Store","10926","Not Available","Not Available","472.1","86","Not Available","132107","121181","Not Available","Not Available","10926","Not Available","132107","Not Available","Not Available","Not Available","Not Available","2440399.1","Not Available","Not Available","1143526.5"
"11 Madison Avenue","1008547501","1929","1","Office","2191837","Restaurant","84847","Data Center","47998","10500.7","80","Not Available","2348153","2191837","Not Available","Not Available","Not Available","Not Available","2348153","Not Available","Not Available","Not Available","Not Available","39251761.9","2463678","24636.78046","28634159.8"
"11 W 51 Street","1-01267-7502","2009","1","Hotel","59625","Not Available","Not Available","Not Available","Not Available","330.1","32","Not Available","59625","Not Available","Not Available","Not Available","Not Available","Not Available","59625","Not Available","Not Available","Not Available","Not Available","1947985.8","363168.7","3631.68706","669433.3"
"11 Wall St","1000230019","1904","1","Financial Office","321735","Data Center","10708","Other","2120","6301.2","1","Not Available","334563","0","Not Available","Not Available","Not Available","Not Available","334563","Not Available","Not Available","Not Available","Not Available","30119798","747184.2","7471.842429","15718100.3"
"11 West 53rd Street","1012690020;1012690058;1012690014","1929","4","Museum","744000","Not Available","Not Available","Not Available","Not Available","10785.3","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","744000","Not Available","Not Available","Not Available","Not Available","Not Available","744000","Not Available","Not Available","Not Available","Not Available","96627268.5","2544995","25449.95015","15617037.2"
"1200 Amsterdam Avenue","1019730001","1897","1","College/University","90679","Not Available","Not Available","Not Available","Not Available","1322.6","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","90679","Not Available","Not Available","Not Available","Not Available","Not Available","90679","Not Available","Not Available","Not Available","Not Available","9848111.9","Not Available","Not Available","1130814.6"
"1200 Fifth Avenue","1-01607-7501","1928","1","Multifamily Housing","111078","Other","1481","Not Available","Not Available","374.7","84","Not Available","112559","Not Available","111078","Not Available","Not Available","Not Available","112559","Not Available","Not Available","Not Available","Not Available","871620","77591.9","775.919469","1153244.4"
"1201 2 AVENUE","1014180021","1963","1","Multifamily Housing","605709","Not Available","Not Available","Not Available","Not Available","2813","36","Not Available","605709","Not Available","605709","Not Available","Not Available","Not Available","605709","Not Available","Not Available","Not Available","Not Available","227554.5","33670866.9","336708.669","3723304.6"
